40.6799155,-74.0026024,Dimattina Playground,
40.7715877,-73.9070944,Ditmars Park Playground,
40.7305359,-74.0017279,Downing Street Playground,
40.6805609,-73.803037,Dr. Charles R. Drew Memorial Park,
40.6676449,-73.8904105,Dr. Martin Luther King Jr. Park,
40.6864082,-73.9659225,Dr. Richard Greene Playground,
40.8331494,-73.9033731,Drew Playground,
40.725358,-73.975523,Dry Dock Playground,
40.5618039,-74.1115302,Dugan Playground,
40.7575695,-73.9330764,Dutch Kills Playground (PS 112),
40.8673996,-73.9228554,Dyckman House Museum,
40.617529,-74.020194,Dyker Beach Park,
40.7649787,-73.8711964,East Elmhurst Playground (PS 127),Yes
40.753155,-73.9006661,East River Park (10th Street),
40.7153662,-73.975495,East River Park (Tennis Courts),
40.7216972,-73.9734364,East River Park (Track Building),
40.7943448,-73.9497592,East River Playground,
40.6985062,-73.7401548,East Springfield Playground,
40.8696721,-73.8528009,Eastchester Playground,
40.8841875,-73.8450307,Edenwald Playground,
40.7402087,-73.8413771,Ederle Comfort Station,Yes
40.6891704,-73.9713938,Edmonds Playground,
40.7359169,-73.8053752,Electric Playground,
40.7309791,-73.8059729,Emerald Playground (PS 200),
40.6912903,-73.8533438,Equity Park,
40.6557721,-73.8870206,Ethan Allen Playground,
40.7356149,-73.7773129,Farm Playground,
40.7004831,-73.9285422,Fermi Playground,
40.7588867,-73.8694444,Fisher Pool,
40.7745559,-73.8166725,Flushing Fields (Leonardo Ingravallo Playground),
40.7229926,-73.8270377,Flushing Meadows Corona Park (Albert H. Mauro Playground),
40.7484485,-73.8336267,Flushing Meadows Corona Park (Lawrence Playground),
40.7397136,-73.840785,Flushing Meadows Corona Park (Meadow Lake North),
40.7517101,-73.8432902,Flushing Meadows Corona Park (Passerelle),Yes
40.7413416,-73.8489647,Flushing Meadows Corona Park (Playground for All Children),Yes
40.7372706,-73.8458436,Flushing Meadows Corona Park (Worlds Fair Playground),
40.7413416,-73.8489647,"Flushing Meadows Corona Park (Zoo, Ballfields)",Yes
40.8210352,-73.9119163,Flynn Playground,
40.702968,-73.8587222,Forest Park (Dry Harbour Playground),
40.7007278,-73.8431928,Forest Park (Jackson Pond Playground),
40.6984268,-73.8583015,Forest Park (Seuffert Bandshell),
40.7095045,-73.8360879,"Forest Park (Sobelsohn Playground, The Overlook)",
40.6974253,-73.8565403,Forest Park (Tennis Courts -Forest Parkway),
40.710711,-73.8355494,Forest Park (The Overlook),
40.7013094,-73.8525438,Forest Park (Victory Field),
40.7007344,-73.8549936,"Forest Park (Visitor Center, near the Carousel)",
40.6922168,-73.9747188,Fort Greene Park,
40.6923534,-73.9772437,Fort Greene Playground,Yes
40.8815687,-73.8958869,Fort Independence Playground,
40.8650507,-73.9284697,Fort Tryon Park (Anne Loftus Playground),Yes
40.8608061,-73.9327347,Fort Tryon Park (Cafí©),
40.8648628,-73.9317274,Fort Tryon Park (The Cloisters),
40.8388534,-73.9460852,Fort Washington Park (Lily Brown Playground),Yes
40.6325221,-73.9240414,Fox Playground,Yes
40.7965619,-73.824516,Francis Lewis Playground,
40.7442965,-73.8865612,Frank D. O'Connor Playground,
40.7848534,-73.8354498,Frank Golden Park,
40.8230195,-73.9256346,Franz Sigel Park,Yes
40.797087,-73.9675621,Frederick Douglass Playground,
40.8170629,-73.9392053,Frederick E. Samuel Playground,
40.8244878,-73.9349482,Frederick Johnson Park,
40.7340648,-73.7961571,Fresh Meadows Playground (PS 173),
40.6185597,-73.9728811,Friends Field,
40.6797339,-73.9328673,Fulton Park,
40.5979212,-73.9467281,Galapo Playground,
40.6089725,-74.0000975,Garibaldi Playground,
40.7523125,-73.9649713,General Douglas MacArthur Park,
40.6367237,-73.9197883,Glenwood Playground,Yes
40.762406,-73.8841796,Gorman Playground,
40.8356154,-73.9033731,Gouverneur Playground,
40.6845879,-73.9878571,Gowanus Playground,
40.6307662,-74.1643758,Grandview Playground,Yes
40.6234499,-73.9842885,Gravesend Park,
40.5516764,-74.1362912,Greencroft Playground (PS 53),
40.6864,-73.9659,Greene Playground,
40.6504477,-73.9765316,Greenwood Playground,
40.8199991,-73.9089767,Grove Hill Playground,
40.7108402,-73.9111313,Grover Cleveland Park,
40.8746633,-73.8653245,Gun Hill Playground,
40.7323972,-73.7316674,Gunn Park (PS 18),
40.8735317,-73.8390434,Haffen Park,
40.8735317,-73.8390434,Haffen Park,
40.7129523,-73.75772,Haggerty Park,Yes
40.7717904,-73.9343288,Hallets Cove Playground,
40.7199859,-73.9814625,Hamilton Fish Park (Recreation Center),Yes
40.6624529,-73.9409419,Hamilton-Metz Field,
40.5881894,-73.8093362,Hammel Playground,Yes
40.8127962,-73.9392323,Hansborough Recreation Center,
40.794736,-73.96987,Happy Warrior Playground,
40.6649607,-73.850315,Harold Schneiderman Playground (PS 232),Yes
40.8763638,-73.8919615,Harris Park,
40.6430626,-73.9231229,Harry Maze Memorial Park,
40.7487922,-73.8973796,Hart Playground,
40.7835041,-73.8232695,Harvey Park,
40.6855451,-73.9460233,Hattie Carthan Playground,
40.8298362,-73.8478793,Havemeyer Playground,
40.6950646,-73.9181626,Heckscher Playground,Yes
40.8809211,-73.9201835,Henry Hudson Park,
40.689612,-73.946732,Herbert Von King Park,Yes
40.5982571,-73.9398397,Herman Dolgon Playground,
40.7926994,-73.8521593,Hermon MacNeil Park,
40.5813625,-74.1228257,High Rock Park,
40.5813625,-74.1228257,High Rock Park (Education Building),
40.5813625,-74.1228257,High Rock Park (McArthur Park),Yes
40.5813625,-74.1228257,High Rock Park (Visitor Center),
40.8472369,-73.9311212,Highbridge Park (Quisqueya Playground),
40.8428043,-73.9341991,Highbridge Park (Recreation Center),
40.8527222,-73.9269151,Highbridge Park (Wallenberg Playground),Yes
40.8446296,-73.9329638,Highbridge Park-Wallenberg Playground,Yes
40.6887278,-73.8862997,Highland Park,
40.7326774,-73.8722287,Hoffman Park,
40.8291747,-73.9361266,Holcombe Rucker,
40.706589,-73.7530819,Hollis Playground (JHS 192),
40.741262,-73.776427,Holy Cow Playground (PS 179),
40.7120075,-73.8216889,Hoover Playground,
40.7341164,-73.8609732,Horace Harding Playground (PS 206),
40.8240168,-73.8976597,Horseshoe Playground,
40.8136183,-73.9386797,Howard Bennett Playground,
40.8142264,-73.8858262,Hunts Point Playground,
40.8726313,-73.9184841,Inwood Hill Park (Nature Center),
40.8673039,-73.9289482,Inwood Hill Park (Payson Playground),
40.869993,-73.9219245,Inwood Hill Park (Tennis Courts),
40.8463679,-73.941493,J. Hood Wright Park,Yes
40.6727125,-73.9840273,J.J. Byrne Memorial Park,
40.6801869,-73.928016,Jackie Robinson Park,Yes
40.824308,-73.942442,Jackie Robinson Park,
40.824308,-73.942442,Jackie Robinson Park (Playground One Fifty Two CLII),
40.824308,-73.942442,Jackie Robinson Park (Recreation Center),Yes
40.6656832,-73.9593103,Jackie Robinson Playground,
